0 1783 1961 1560 1885 1479 876 975 994 1229 2021 2510 
1975 0 1670 1326 1321 1570 2199 1977 1933 1935 2220 2380 
1221 123 0 572 567 816 1446 1224 1179 1181 1466 1626 
1623 524 401 0 969 1218 1847 1625 1581 1583 1868 2027 
1828 1798 1976 1574 0 249 2052 1830 1786 614 2574 2958 
1579 1549 1727 1326 1651 0 1804 1582 1537 365 2326 2709 
641 1579 1757 1356 1681 1275 0 580 599 1451 2570 2739 
450 1388 1566 1164 1489 1083 545 0 408 1260 2379 2548 
1010 980 1158 757 1082 675 1235 1013 0 852 1735 2140 
1491 1460 1638 1237 1562 1156 1715 1493 1448 0 1204 1694 
2328 1230 1107 1679 1674 1923 2553 2331 2286 1700 0 489 
3300 2201 2078 2650 2646 2894 3524 3302 3257 2671 3221 0
